timestamp,bid,ask,imbalance,quoted_spread,bid_q,ask_q,inventory,pnl,pnl_base
1767079309219858021,9750,9775,0.47368421052631576,10,9760,9770,4,-455.0,0.0
1767079310224483626,9755,9780,-0.09090909090909091,5,9765,9770,4,-435.0,0.0
1767079311221810558,9750,9770,-0.6,10,9755,9765,4,-465.0,0.0
1767079312222033987,9755,9780,-0.625,-5,9760,9755,3,-447.5,0.0
1767079313210148194,9750,9775,-0.2,5,9760,9765,3,-462.5,0.0
1767079314213025453,9740,9755,0.4146341463414634,5,9745,9750,3,-507.5,0.0
1767079315223160578,9715,9735,0.0,5,9720,9725,3,-575.0,0.0
1767079316222479449,9715,9730,-0.4,5,9720,9725,3,-582.5,0.0
1767079317213263144,9715,9725,-0.6666666666666666,0,9715,9715,2,-595.0,0.0
1767079319224138949,9630,9640,-0.8181818181818182,0,9630,9630,1,-770.0,0.0
1767079320222967257,9635,9660,-0.75,-5,9640,9635,0,-770.0,0.0
1767079321218974285,9610,9630,0.7333333333333333,0,9630,9630,1,-780.0,0.0
1767079322215516619,9610,9620,0.14285714285714285,10,9610,9620,1,-785.0,0.0
1767079323223651965,9605,9635,-0.375,10,9615,9625,1,-780.0,0.0
1767079324217176549,9600,9610,-0.2,10,9600,9610,1,-795.0,0.0
1767079325224348030,9605,9630,0.4,10,9615,9625,1,-782.5,0.0
1767079327224186435,9580,9600,0.6,10,9585,9595,1,-810.0,0.0
1767079327224186435,9580,9600,0.6,10,9585,9595,1,-810.0,0.0
1767079329221252594,9580,9600,0.8333333333333334,0,9600,9600,2,-820.0,0.0
1767079330224441366,9595,9620,-0.875,0,9595,9595,1,-797.5,0.0
1767079331223887851,9590,9615,-0.21739130434782608,5,9600,9605,1,-802.5,0.0
1767079332222495394,9560,9590,0.4117647058823529,10,9570,9580,1,-830.0,0.0
1767079333217933371,9560,9580,-0.2,10,9565,9575,1,-835.0,0.0
1767079334224357262,9555,9580,0.06666666666666667,5,9565,9570,1,-837.5,0.0
1767079335221161391,9535,9560,0.7142857142857143,-5,9560,9555,2,-870.0,0.0
1767079336224375680,9530,9555,0.6,10,9540,9550,2,-880.0,0.0
